Date,dew,humidity,pm1,pm10,pm25,precipitation,pressure,temperature,wind speed,wind-speed
2018-12-31,,,,,,,,,,
2019-01-01,,,,,,,,,,
2019-01-02,,,,,,,,,,
2019-01-03,,,,,,,,,,
2019-01-04,,,,,,,,,,
2019-01-05,,,,,,,,,,
2019-01-06,,,,,,,,,,
2019-01-07,,,,,,,,,,
2019-01-08,,,,,,,,,,
2019-01-09,,,,,,,,,,
2019-01-10,,,,,,,,,,
2019-01-11,,,,,,,,,,
2019-01-12,,,,,,,,,,
2019-01-13,,,,,,,,,,
2019-01-14,,,,,,,,,,
2019-01-15,,,,,,,,,,
2019-01-16,,,,,,,,,,
2019-01-17,,,,,,,,,,
2019-01-18,,,,,,,,,,
2019-01-19,,,,,,,,,,
2019-01-20,,,,,,,,,,
2019-01-21,,,,,,,,,,
2019-01-22,,,,,,,,,,
2019-01-23,,,,,,,,,,
2019-01-24,,,,,,,,,,
2019-01-25,,,,,,,,,,
2019-01-26,,,,,,,,,,
2019-01-27,,,,,,,,,,
2019-01-28,,,,,,,,,,
2019-01-29,,,,,,,,,,
2019-01-30,,,,,,,,,,
2019-01-31,,,,,,,,,,
2019-02-01,,,,,,,,,,
2019-02-02,,,,,,,,,,
2019-02-03,,,,,,,,,,
2019-02-04,,,,,,,,,,
2019-02-05,,,,,,,,,,
2019-02-06,,,,,,,,,,
2019-02-07,12.1,93.7,,,69.0,,924.5,12.8,,1.0
2019-02-08,11.5,89.5,,,51.0,,924.8,13.8,,1.5
2019-02-09,8.5,58.1,,,32.0,,922.6,13.8,,1.5
2019-02-10,6.7,52.7,,,35.0,,924.5,16.4,,1.5
2019-02-11,9.4,61.9,,,52.0,,926.3,17.6,,1.5
2019-02-12,8.6,62.4,,,55.0,,926.6,11.5,,1.0
2019-02-13,12.4,66.2,,,62.0,,927.9,20.0,,1.5
2019-02-14,13.5,77.4,,,79.0,,924.8,17.5,,1.5
2019-02-15,11.8,76.9,,,37.0,,924.1,17.8,,2.0
2019-02-16,10.5,58.5,,,40.0,,921.5,15.4,,1.5
2019-02-17,8.8,68.3,,,46.0,,919.1,9.2,,1.5
2019-02-18,11.3,92.4,,,59.0,,918.8,12.5,,1.5
2019-02-19,11.6,59.9,,,78.0,,921.0,17.2,,2.0
2019-02-20,12.5,64.0,,,62.0,,923.5,19.6,,2.0
