Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed
2024-01-01,,63.8,,,,,12.0,0.9
2024-01-02,,63.1,,,,,12.1,1.0
2024-01-03,,66.9,,,,,12.0,0.9
2024-01-04,,68.5,,,,,11.7,1.0
2024-01-05,,74.3,,,,,11.9,0.9
2024-01-06,13.8,70.8,,,,,12.7,1.0
2024-01-07,13.0,74.6,,,,,12.4,1.0
2024-01-08,15.7,72.1,,,,,12.6,0.9
2024-01-09,13.8,68.3,,,,,12.4,0.8
2024-01-10,,76.4,,,,,11.4,0.7
2024-01-11,11.7,67.3,,,,,11.6,0.7
2024-01-12,12.0,61.2,,,,,13.1,0.8
2024-01-13,9.9,59.4,,,,,13.6,0.9
2024-01-14,,62.7,,,,,12.9,0.9
2024-01-15,,70.4,,,,,12.8,0.8
2024-01-16,10.8,67.5,,,,,12.5,0.7
2024-01-17,,73.4,,,,,11.4,0.7
2024-01-18,,68.7,,,,,10.8,1.0
2024-01-19,12.7,81.5,,,,,10.2,0.8
2024-01-20,10.8,74.1,,,,,10.3,1.0
2024-01-21,,67.8,,,,,10.6,0.9
2024-01-22,9.9,66.7,,,,,10.7,0.7
2024-01-23,10.8,69.1,,,,,10.4,0.9
2024-01-24,10.8,71.0,,,,,10.1,1.0
2024-01-25,9.2,70.4,,,,,10.3,0.8
2024-01-26,8.8,59.2,,,,,10.1,0.9
2024-01-27,,56.4,,,,,10.0,0.8
2024-01-28,9.6,64.7,,,,,10.5,0.8
2024-01-29,9.3,76.8,,,,,10.8,0.9
2024-01-30,,71.6,,,,,11.2,1.0
2024-01-31,,78.6,,,,,11.1,0.9
2024-02-01,14.0,81.0,,,,,11.6,0.9
2024-02-02,13.8,72.1,,,,,11.2,0.9
2024-02-03,12.5,76.0,,,,,9.7,1.1
2024-02-04,,87.6,,,,,10.7,1.2
2024-02-05,,89.5,,,,,11.1,1.1
2024-02-06,,96.3,,,,,10.0,1.0
2024-02-07,,92.7,,,,,8.9,1.3
2024-02-08,,95.1,,,,,9.4,0.8
2024-02-09,,88.1,,,,,11.8,0.9
2024-02-10,13.0,53.8,,,,,14.1,0.9
2024-02-11,13.9,50.6,,,,,14.3,1.0
2024-02-12,,43.9,,,,,14.2,0.9
2024-02-13,,45.0,,,,,14.2,1.3
2024-02-14,,50.4,,,,,14.3,1.1
2024-02-15,15.2,72.5,,,,,14.4,0.9
2024-02-16,15.5,77.4,,,,,13.8,1.0
2024-02-17,15.0,84.2,,,,,13.4,1.2
2024-02-18,12.0,71.9,,,,,13.2,0.7
2024-02-19,,67.6,,,,,13.6,0.9
2024-02-20,,71.5,,,,,14.4,0.9
2024-02-21,,77.7,,,,,13.7,1.1
2024-02-22,17.2,82.6,144.0,58.0,152.0,,12.9,0.9
2024-02-23,15.3,56.3,77.0,47.0,90.0,,12.5,1.3
2024-02-24,,63.1,99.0,55.0,116.0,,12.9,1.1
2024-02-25,,47.3,96.0,56.0,109.0,,13.1,1.0
2024-02-26,16.0,52.8,130.0,59.0,144.0,,12.4,0.9
2024-02-27,14.1,62.4,152.0,68.0,155.0,,15.0,1.5
2024-02-28,,68.8,152.0,65.0,155.0,,13.6,0.9
2024-02-29,,81.2,153.0,67.0,156.0,,14.4,1.2
2024-03-01,15.2,80.4,154.0,68.0,158.0,,14.9,1.2
2024-03-02,17.4,78.6,154.0,66.0,156.0,,15.7,1.0
2024-03-03,,83.3,150.0,60.0,153.0,,15.1,1.2
2024-03-04,,79.7,73.0,44.0,80.0,,15.6,1.3
2024-03-05,18.0,76.2,80.0,41.0,90.0,,14.6,1.3
2024-03-06,11.6,78.2,99.0,52.0,111.0,,14.0,1.3
2024-03-07,,76.5,124.0,59.0,139.0,,13.4,0.8
2024-03-08,,,,,,,,
2024-03-09,13.7,59.5,138.0,67.0,152.0,,16.6,1.2
2024-03-10,13.8,70.0,149.0,66.0,155.0,,16.3,1.4
2024-03-11,,67.0,150.0,69.0,154.0,,17.4,1.2
2024-03-12,,59.0,131.0,66.0,148.0,,17.8,0.8
2024-03-13,16.3,58.5,130.0,64.0,148.0,,18.0,1.1
2024-03-14,14.9,48.2,116.0,63.0,129.0,,18.2,0.9
2024-03-15,,49.7,139.0,67.0,152.0,,18.6,1.1
2024-03-16,,41.7,141.0,73.0,153.0,,18.5,1.2
2024-03-17,13.9,37.6,148.0,65.0,153.0,,18.8,1.4
2024-03-18,16.3,43.9,158.0,72.0,162.0,,18.4,1.2
2024-03-19,,52.4,167.0,82.0,172.0,,18.9,1.2
2024-03-20,,91.7,149.0,54.0,151.0,,13.4,1.4
2024-03-21,18.0,100.0,45.0,11.0,48.0,,12.0,1.2
2024-03-22,,99.5,70.0,22.0,71.0,,14.2,1.1
2024-03-23,,100.0,120.0,43.0,123.0,,13.9,1.4
2024-03-24,,91.9,114.0,47.0,120.0,,16.7,1.0
2024-03-25,20.8,91.8,129.0,51.0,137.0,,17.6,1.5
2024-03-26,18.5,94.0,85.0,32.0,89.0,,16.9,1.4
2024-03-27,17.5,88.4,107.0,45.0,114.0,,16.9,0.8
2024-03-28,20.6,91.4,114.0,47.0,123.0,,18.0,0.8
2024-03-29,17.0,72.2,78.0,35.0,84.0,,19.8,0.9
2024-03-30,21.0,77.7,98.0,45.0,106.0,,19.8,1.2
2024-03-31,,70.3,110.0,54.0,118.0,,23.2,2.0
2024-04-01,,41.2,64.0,43.0,84.0,,22.6,1.3
2024-04-02,12.9,50.7,99.0,69.0,123.0,,20.8,1.0
2024-04-03,16.5,61.4,129.0,66.0,150.0,,20.5,1.0
2024-04-04,15.8,61.6,126.0,70.0,151.0,877.3,22.4,1.3
2024-04-05,15.7,61.9,100.0,59.0,119.0,877.5,21.9,0.9
2024-04-06,15.8,57.8,117.0,58.0,133.0,878.4,22.8,1.0
2024-04-07,11.8,43.7,99.0,67.0,126.0,877.6,22.6,1.2
2024-04-08,11.8,46.6,115.0,71.0,136.0,880.1,21.4,1.0
2024-04-09,,55.1,116.0,62.0,131.0,,21.6,1.3
2024-04-10,11.5,46.8,97.0,50.0,103.0,882.5,22.3,1.4
2024-04-11,13.2,53.1,126.0,59.0,134.0,882.8,19.8,1.5
2024-04-12,12.6,59.0,100.0,39.0,106.0,883.3,19.8,1.2
2024-04-13,14.4,66.7,115.0,49.0,121.0,883.0,21.1,0.9
2024-04-14,15.0,64.9,87.0,45.0,95.0,883.1,22.2,1.3
2024-04-15,17.2,67.7,102.0,52.0,116.0,881.2,23.3,1.0
2024-04-16,18.0,75.7,122.0,57.0,136.0,880.2,22.4,1.1
2024-04-17,17.7,70.1,97.0,55.0,112.0,877.4,22.6,1.0
2024-04-18,17.7,67.1,94.0,58.0,112.0,877.5,21.6,0.9
2024-04-19,18.1,78.9,99.0,54.0,115.0,875.3,21.5,0.8
2024-04-20,18.9,78.1,88.0,54.0,105.0,874.1,23.0,2.3
2024-04-21,16.4,56.8,72.0,62.0,104.0,874.7,24.7,1.0
2024-04-22,15.1,49.4,93.0,74.0,120.0,876.9,23.4,0.9
2024-04-23,14.4,44.0,88.0,66.0,107.0,876.1,25.1,0.9
2024-04-24,11.1,30.4,107.0,66.0,122.0,875.6,25.1,1.0
