Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind speed,wind-speed
2019-12-30,,,,,,,,,
2019-12-31,,,,,,,,,
2020-01-01,,,,,,,,,
2020-01-02,,,,,,,,,
2020-01-03,,,,,,,,,
2020-01-04,,,75.0,25.0,76.0,,10.1,,1.0
2020-01-05,8.3,98.0,87.0,30.0,89.0,879.9,8.5,1.0,1.0
2020-01-06,8.1,69.5,71.0,26.0,73.0,882.1,7.7,1.1,
2020-01-07,6.4,83.4,93.0,41.0,98.0,882.9,9.8,0.8,
2020-01-08,8.9,72.2,88.0,36.0,95.0,883.1,10.5,0.9,
2020-01-09,9.0,75.9,69.0,24.0,71.0,882.6,10.7,1.2,
2020-01-10,9.4,71.5,116.0,50.0,122.0,882.8,9.7,0.8,
2020-01-11,8.8,84.0,119.0,50.0,126.0,884.1,10.9,0.7,
2020-01-12,2.4,62.8,112.0,44.0,117.0,827.0,9.8,0.5,
2020-01-13,7.1,62.3,63.0,27.0,66.0,880.2,12.5,1.0,
2020-01-14,7.7,65.8,62.0,27.0,65.0,881.1,11.7,0.8,
2020-01-15,9.8,71.2,88.0,38.0,93.0,882.3,11.4,1.0,
2020-01-16,9.7,62.8,107.0,51.0,114.0,883.6,13.5,0.8,
2020-01-17,10.3,96.1,119.0,50.0,128.0,884.6,10.6,1.1,
2020-01-18,12.6,69.0,73.0,26.0,75.0,885.3,11.9,1.3,
2020-01-19,12.2,74.2,94.0,44.0,100.0,883.9,11.0,1.0,
2020-01-20,7.8,74.7,91.0,40.0,97.0,883.4,10.2,0.9,
2020-01-21,9.0,85.7,90.0,39.0,95.0,885.6,10.0,0.9,
2020-01-22,10.0,74.4,148.0,58.0,152.0,885.7,10.4,0.7,
2020-01-23,10.8,85.7,159.0,70.0,161.0,883.0,9.6,0.7,
2020-01-24,9.0,85.5,181.0,94.0,185.0,882.3,10.5,0.6,
2020-01-25,9.1,62.2,165.0,77.0,168.0,884.0,10.5,0.7,
2020-01-26,8.8,76.9,161.0,72.0,163.0,879.0,10.5,0.8,
2020-01-27,9.4,74.2,160.0,70.0,164.0,881.0,10.9,0.8,
2020-01-28,8.1,61.8,164.0,83.0,167.0,881.8,11.1,0.7,
2020-01-29,13.9,80.7,163.0,76.0,166.0,884.7,14.3,0.9,
2020-01-30,11.2,89.0,175.0,92.0,180.0,883.2,13.1,0.7,
2020-01-31,10.1,82.5,177.0,88.0,181.0,882.0,14.0,0.7,
2020-02-01,9.6,60.8,160.0,71.0,164.0,884.4,11.5,0.8,
2020-02-02,8.4,57.5,157.0,71.0,161.0,883.9,10.9,0.7,
2020-02-03,8.0,64.6,161.0,79.0,164.0,885.8,10.5,0.6,
2020-02-04,9.6,69.7,159.0,74.0,163.0,884.9,11.5,0.8,
2020-02-05,8.0,50.2,158.0,73.0,161.0,882.2,12.9,0.8,
2020-02-06,8.5,67.3,169.0,87.0,174.0,884.0,11.2,0.7,
2020-02-07,8.6,65.8,165.0,91.0,169.0,885.0,12.0,0.8,
2020-02-08,7.8,59.7,160.0,74.0,163.0,886.3,12.0,0.9,
2020-02-09,6.1,76.8,138.0,63.0,149.0,887.7,10.7,0.9,
2020-02-10,,,132.0,71.0,150.0,,,,
2020-02-11,,,151.0,69.0,154.0,,,,
2020-02-12,,,144.0,69.0,153.0,,,,
2020-02-13,,,153.0,76.0,157.0,,,,
2020-02-14,,,160.0,84.0,164.0,,,,
2020-02-15,,,168.0,87.0,172.0,,,,
2020-02-16,,,184.0,109.0,190.0,,,,
2020-02-17,,,179.0,103.0,186.0,,,,
2020-02-18,,,177.0,94.0,183.0,,,,
2020-02-19,,,179.0,97.0,183.0,,,,
2020-02-20,,,180.0,101.0,186.0,,,,
2020-02-21,,,163.0,83.0,169.0,,,,
2020-02-22,,,154.0,70.0,158.0,,,,
2020-02-23,,,110.0,58.0,120.0,,,,
2020-02-24,,,85.0,47.0,91.0,,18.1,1.1,
2020-02-25,14.4,78.5,74.0,33.0,79.0,,17.3,0.8,
2020-02-26,10.0,87.6,43.0,16.0,51.0,882.7,12.6,1.1,
2020-02-27,10.8,74.3,64.0,27.0,69.0,882.5,13.9,0.8,
2020-02-28,11.9,82.8,87.0,42.0,94.0,882.4,15.6,0.9,
2020-02-29,12.5,75.8,98.0,42.0,103.0,881.9,13.0,0.5,
2020-03-01,11.9,67.5,86.0,51.0,93.0,881.6,15.1,0.9,
2020-03-02,12.3,74.8,90.0,50.0,96.0,882.1,15.0,1.2,
2020-03-03,,,120.0,65.0,151.0,,11.7,0.7,
2020-03-04,,,91.0,56.0,109.0,,14.9,0.8,
2020-03-05,11.5,68.2,108.0,57.0,124.0,881.1,15.1,1.0,
2020-03-06,9.9,62.2,86.0,42.0,93.0,881.0,14.3,1.1,
2020-03-07,12.6,74.8,80.0,33.0,84.0,884.8,12.4,1.1,
2020-03-08,12.2,86.9,59.0,19.0,62.0,881.6,11.0,0.8,
2020-03-09,13.0,69.8,98.0,43.0,105.0,879.2,13.8,1.3,
2020-03-10,13.1,69.3,124.0,58.0,139.0,880.3,14.6,0.8,
2020-03-11,13.4,73.7,143.0,60.0,152.0,880.3,15.0,1.0,
2020-03-12,14.5,73.3,143.0,62.0,153.0,882.7,16.7,1.2,
2020-03-13,15.0,73.5,147.0,66.0,154.0,885.1,16.3,1.1,
2020-03-14,13.0,76.8,66.0,23.0,70.0,884.4,14.4,0.6,
2020-03-15,12.9,69.0,79.0,39.0,83.0,882.9,15.9,1.2,
2020-03-16,10.3,45.7,63.0,37.0,70.0,883.0,15.7,0.9,
2020-03-17,10.6,47.8,85.0,55.0,95.0,884.5,15.4,1.0,
2020-03-18,12.4,55.1,105.0,63.0,124.0,882.0,15.9,1.2,
2020-03-19,12.9,57.2,151.0,73.0,156.0,880.2,17.1,2.2,
2020-03-20,16.6,41.5,128.0,63.0,143.0,,15.3,1.1,
2020-03-21,16.4,46.0,81.0,30.0,86.0,,12.1,0.7,
2020-03-22,17.3,60.1,93.0,38.0,98.0,,14.5,1.0,
2020-03-23,12.7,78.2,83.0,33.0,90.0,,14.5,1.1,
2020-03-24,13.4,62.6,66.0,23.0,70.0,880.8,16.7,1.2,
2020-03-25,14.2,71.0,93.0,45.0,100.0,880.1,18.1,1.0,
2020-03-26,16.5,71.3,134.0,56.0,149.0,880.6,18.8,1.2,
2020-03-27,15.6,76.7,154.0,70.0,158.0,881.3,19.7,0.8,
2020-03-28,15.8,65.5,115.0,70.0,130.0,880.0,19.5,1.0,
2020-03-29,13.9,55.0,74.0,63.0,90.0,876.7,21.9,0.5,
2020-03-30,13.4,55.3,80.0,62.0,95.0,878.0,22.4,,0.5
2020-03-31,12.8,53.3,99.0,65.0,118.0,880.5,22.6,,0.5
2020-04-01,13.0,58.8,117.0,67.0,135.0,880.4,21.4,,1.0
2020-04-02,11.7,49.4,83.0,51.0,93.0,877.8,22.8,,0.5
2020-04-03,10.7,49.3,92.0,61.0,112.0,879.7,21.7,,0.5
2020-04-04,10.5,46.2,108.0,65.0,124.0,880.6,21.9,,0.5
2020-04-05,8.4,43.8,151.0,77.0,155.0,880.8,20.2,,0.5
2020-04-06,11.5,46.9,152.0,81.0,157.0,879.9,22.4,,0.5
2020-04-07,12.8,52.6,138.0,77.0,153.0,878.7,23.0,,0.5
2020-04-08,12.3,42.8,139.0,75.0,156.0,879.6,26.0,,1.0
2020-04-09,13.4,63.4,116.0,76.0,145.0,880.8,22.4,,0.5
2020-04-10,11.0,51.5,90.0,57.0,101.0,882.5,23.0,,0.5
2020-04-11,12.8,55.8,108.0,63.0,125.0,882.9,23.1,,0.5
2020-04-12,12.3,56.2,116.0,54.0,128.0,882.2,21.6,,0.5
2020-04-13,14.8,66.5,115.0,53.0,125.0,881.1,21.3,,0.5
2020-04-14,15.9,67.4,123.0,55.0,133.0,881.7,22.9,,0.5
2020-04-15,14.1,73.5,151.0,58.0,153.0,882.3,20.7,,0.5
2020-04-16,14.3,63.6,84.0,39.0,92.0,880.5,16.2,,0.5
2020-04-17,14.7,68.7,71.0,32.0,76.0,878.6,19.6,,1.0
2020-04-18,16.0,75.4,80.0,36.0,89.0,879.7,20.4,,1.0
2020-04-19,18.1,73.5,93.0,47.0,102.0,878.6,21.0,,0.5
2020-04-20,17.0,67.3,85.0,41.0,95.0,880.4,23.4,,0.5
2020-04-21,14.2,85.7,72.0,25.0,78.0,880.6,17.1,,0.5
2020-04-22,15.1,75.3,55.0,18.0,58.0,879.3,19.8,,0.5
2020-04-23,16.5,74.6,71.0,26.0,76.0,879.0,18.4,,1.0
2020-04-24,14.9,85.8,78.0,30.0,83.0,877.7,17.2,,0.5
2020-04-25,15.3,78.1,,,,879.3,20.0,,0.5
2020-04-26,15.3,70.5,,,,883.0,20.2,,
2020-04-27,14.1,76.1,78.0,31.0,82.0,883.6,20.5,,0.5
2020-04-28,15.8,82.3,49.0,17.0,53.0,883.3,19.8,,0.5
2020-04-29,16.7,74.9,52.0,15.0,54.0,881.1,21.4,,1.0
2020-04-30,16.9,75.5,61.0,22.0,65.0,880.8,21.2,,0.5
2020-05-01,17.6,83.4,59.0,19.0,62.0,881.6,20.0,,0.5
2020-05-02,16.5,86.7,55.0,17.0,58.0,880.8,17.6,,0.5
2020-05-03,17.3,73.8,56.0,17.0,58.0,879.4,22.4,,0.5
2020-05-04,18.5,73.6,60.0,22.0,63.0,881.7,18.1,,
2020-05-05,18.3,,,,,880.6,,,
2020-05-06,17.2,79.6,32.0,18.0,42.0,879.0,19.4,,2.2
2020-05-07,14.9,84.5,39.0,15.0,46.0,878.7,16.4,,1.0
2020-05-08,14.4,78.5,45.0,21.0,53.0,879.1,18.8,,0.8
2020-05-09,17.5,80.3,61.0,32.0,67.0,880.9,21.0,,1.2
2020-05-10,16.9,68.6,97.0,46.0,106.0,881.3,22.6,,1.2
2020-05-11,16.4,75.8,139.0,58.0,148.0,881.6,21.1,,1.0
2020-05-12,15.8,70.8,77.0,40.0,85.0,880.2,21.4,,0.9
2020-05-13,18.0,83.6,101.0,51.0,111.0,878.2,21.6,,1.0
2020-05-14,19.9,96.9,110.0,52.0,121.0,878.5,20.0,,1.2
2020-05-15,19.5,95.3,113.0,51.0,123.0,877.9,20.5,,0.9
2020-05-16,19.8,93.1,100.0,50.0,113.0,875.5,21.3,,1.0
2020-05-17,19.3,88.3,88.0,49.0,101.0,875.3,21.7,,1.1
2020-05-18,18.6,83.9,93.0,51.0,105.0,876.5,22.8,,1.2
2020-05-19,18.7,77.4,72.0,39.0,81.0,876.0,22.4,,1.0
2020-05-20,19.6,,,,,874.8,,,
2020-05-21,19.6,100.0,56.0,18.0,59.0,872.6,19.7,,0.8
2020-05-22,19.6,100.0,37.0,12.0,41.0,874.9,19.9,,1.1
2020-05-23,20.8,94.5,57.0,31.0,65.0,876.7,21.7,,0.8
2020-05-24,21.9,95.0,93.0,50.0,107.0,876.3,22.7,,0.9
2020-05-25,22.7,87.1,78.0,53.0,92.0,875.1,23.9,,1.2
2020-05-26,21.2,,,,,875.6,,,
2020-05-27,20.3,,,,,876.0,,,
2020-05-28,21.9,90.6,53.0,20.0,57.0,,19.8,,1.4
2020-05-29,23.1,90.1,55.0,21.0,60.0,,19.4,,1.2
2020-05-30,23.5,95.2,49.0,18.0,56.0,,19.7,,1.2
2020-05-31,23.2,99.7,57.0,23.0,63.0,,19.5,,0.8
2020-06-01,25.4,,,,,,,,
2020-06-02,15.3,,,,,800.8,,,
2020-06-03,16.1,94.2,90.0,50.0,106.0,800.5,21.7,,1.2
2020-06-04,16.9,94.9,103.0,50.0,119.0,800.4,21.0,,2.4
2020-06-05,15.2,98.7,64.0,23.0,67.0,800.7,19.9,,1.0
2020-06-06,16.0,99.3,39.0,12.0,43.0,799.5,20.2,,1.0
2020-06-07,25.3,92.0,54.0,17.0,57.0,,21.7,,0.8
2020-06-08,25.9,75.1,62.0,26.0,68.0,,23.6,,1.8
2020-06-09,24.5,82.4,62.0,25.0,68.0,,25.4,,0.7
2020-06-10,27.4,80.6,70.0,33.0,78.0,,26.4,,2.3
2020-06-11,26.4,90.5,64.0,24.0,68.0,,23.9,,1.1
2020-06-12,25.8,92.4,33.0,12.0,40.0,,23.2,,1.2
2020-06-13,25.2,95.8,26.0,9.0,30.0,,22.9,,0.8
2020-06-14,26.5,91.8,26.0,10.0,31.0,,23.2,,1.3
2020-06-15,,88.9,18.0,8.0,24.0,,24.2,,1.1
2020-06-16,25.1,86.2,14.0,5.0,17.0,,23.2,,1.3
