Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind speed,wind-speed
2019-12-30,,,,,,,,,
2019-12-31,,,156.0,78.0,158.0,,,,
2020-01-01,,,103.0,62.0,109.0,,,,
2020-01-02,,,,,,,,,
2020-01-03,,,61.0,17.0,62.0,,,,
2020-01-04,,,58.0,19.0,60.0,,11.5,1.7,1.7
2020-01-05,8.4,70.8,24.0,6.0,24.0,921.6,13.6,1.5,1.5
2020-01-06,8.2,74.2,72.0,44.0,102.0,923.6,12.4,1.5,
2020-01-07,8.5,93.5,120.0,44.0,116.0,924.1,11.0,0.6,
2020-01-08,9.8,89.9,110.0,47.0,126.0,923.6,11.4,0.7,
2020-01-09,9.5,92.3,117.0,42.0,105.0,923.6,10.7,0.8,
2020-01-10,7.2,73.3,103.0,40.0,109.0,923.9,10.9,0.6,
2020-01-11,8.8,88.6,143.0,43.0,121.0,924.4,11.1,0.9,
2020-01-12,7.3,86.8,,52.0,146.0,923.3,7.6,1.0,
2020-01-13,10.2,71.0,140.0,48.0,128.0,921.8,16.2,0.8,
2020-01-14,11.0,71.1,98.0,44.0,119.0,921.5,17.4,1.0,
2020-01-15,11.0,65.3,,48.0,131.0,922.4,18.0,2.0,
2020-01-16,12.3,93.7,92.0,41.0,116.0,923.7,13.0,0.5,
2020-01-17,11.0,97.4,,27.0,84.0,924.6,12.0,1.0,
2020-01-18,8.5,81.5,82.0,28.0,83.0,924.2,10.6,0.6,
2020-01-19,3.6,52.2,69.0,28.0,82.0,922.5,11.8,0.8,
2020-01-20,5.0,56.1,68.0,31.0,74.0,922.3,13.4,0.7,
2020-01-21,7.0,78.9,98.0,41.0,107.0,924.4,13.7,0.7,
2020-01-22,8.9,67.2,79.0,38.0,97.0,925.3,13.1,0.7,
2020-01-23,8.4,64.9,104.0,38.0,107.0,919.8,14.8,0.7,
2020-01-24,8.9,88.9,127.0,50.0,134.0,921.5,12.5,0.9,
2020-01-25,7.4,58.9,149.0,55.0,152.0,921.2,13.3,0.7,
2020-01-26,7.6,72.5,152.0,57.0,153.0,920.6,11.3,0.5,
2020-01-27,9.2,65.4,138.0,55.0,151.0,919.2,14.9,0.7,
2020-01-28,9.0,63.1,125.0,52.0,135.0,919.2,12.9,0.8,
2020-01-29,11.0,65.0,98.0,38.0,102.0,922.8,11.3,0.9,
2020-01-30,7.7,68.1,71.0,30.0,78.0,920.1,11.4,0.7,
2020-01-31,9.4,63.4,80.0,36.0,95.0,920.3,11.6,0.7,
2020-02-01,8.0,58.3,89.0,42.0,113.0,921.7,13.3,0.7,
2020-02-02,6.4,54.2,94.0,41.0,109.0,923.0,12.9,0.8,
2020-02-03,8.4,60.8,108.0,44.0,115.0,924.3,12.4,0.7,
2020-02-04,9.0,57.8,118.0,48.0,123.0,921.8,11.4,0.5,
2020-02-05,8.2,60.5,111.0,48.0,122.0,922.3,12.5,0.5,
2020-02-06,8.3,57.5,122.0,54.0,129.0,921.9,11.0,0.6,
2020-02-07,8.4,56.6,124.0,55.0,138.0,923.6,13.3,0.7,
2020-02-08,7.8,61.3,150.0,59.0,154.0,925.3,10.3,0.8,
2020-02-09,4.8,81.4,93.0,43.0,99.0,927.4,5.8,0.5,
2020-02-10,,,98.0,48.0,111.0,,,,
2020-02-11,,,97.0,51.0,109.0,,,,
2020-02-12,,,108.0,50.0,125.0,,,,
2020-02-13,,,121.0,54.0,136.0,,,,
2020-02-14,,,132.0,55.0,140.0,,,,
2020-02-15,,,158.0,66.0,159.0,,,,
2020-02-16,,,160.0,72.0,165.0,,,,
2020-02-17,,,160.0,68.0,162.0,,,,
2020-02-18,,,160.0,67.0,162.0,,,,
2020-02-19,,,160.0,69.0,162.0,,,,
2020-02-20,,,159.0,65.0,161.0,,,,
2020-02-21,,,157.0,66.0,164.0,,,,
2020-02-22,,,106.0,48.0,122.0,,,,
2020-02-23,,,80.0,38.0,92.0,,,,
2020-02-24,,,76.0,34.0,86.0,,,,
2020-02-25,10.7,69.0,81.0,32.0,86.0,920.0,16.4,1.0,
2020-02-26,11.0,81.8,51.0,16.0,57.0,922.3,12.6,0.6,
2020-02-27,10.3,66.4,62.0,21.0,65.0,923.1,14.8,0.9,
2020-02-28,10.5,64.0,64.0,25.0,67.0,922.7,14.2,0.5,
2020-02-29,10.8,54.3,55.0,16.0,57.0,920.6,14.0,1.5,
2020-03-01,11.7,80.7,79.0,32.0,83.0,921.5,13.6,0.8,
2020-03-02,10.6,81.0,66.0,29.0,72.0,922.2,13.8,0.7,
2020-03-03,10.8,76.0,60.0,24.0,68.0,918.3,11.5,0.4,
2020-03-04,12.5,69.2,55.0,18.0,60.0,918.9,12.1,0.8,
2020-03-05,10.9,52.9,61.0,28.0,70.0,920.9,14.7,0.7,
2020-03-06,10.1,53.9,74.0,35.0,79.0,920.3,18.2,0.7,
2020-03-07,10.8,73.7,60.0,19.0,65.0,924.0,13.1,0.6,
2020-03-08,13.8,56.5,55.0,17.0,59.0,1000.1,18.8,1.0,
2020-03-09,12.4,57.4,73.0,26.0,78.0,918.1,17.2,0.9,
2020-03-10,13.8,57.1,99.0,43.0,108.0,918.8,17.7,0.7,
2020-03-11,14.2,57.3,98.0,46.0,105.0,921.4,18.5,0.8,
2020-03-12,12.6,50.1,84.0,40.0,95.0,921.9,17.8,0.6,
2020-03-13,12.5,67.7,92.0,40.0,100.0,925.0,17.1,0.7,
2020-03-14,10.3,43.2,44.0,12.0,47.0,921.2,15.7,1.5,
2020-03-15,8.4,52.0,38.0,17.0,44.0,923.9,16.4,0.7,
2020-03-16,10.1,45.9,61.0,27.0,64.0,922.1,18.7,0.8,
2020-03-17,10.9,71.9,67.0,34.0,75.0,923.9,17.5,1.0,
2020-03-18,13.8,67.0,87.0,37.0,94.0,921.3,16.4,0.7,
2020-03-19,12.6,54.8,93.0,38.0,100.0,920.0,15.7,0.8,
2020-03-20,,,72.0,28.0,77.0,,14.4,0.6,
2020-03-21,,,61.0,17.0,65.0,,12.1,0.6,
2020-03-22,,,66.0,31.0,73.0,,15.5,0.7,
2020-03-23,5.3,55.1,56.0,22.0,61.0,762.7,17.1,0.6,
2020-03-24,13.4,57.1,73.0,28.0,78.0,921.0,19.7,0.6,
2020-03-25,15.9,78.2,87.0,33.0,92.0,918.8,17.8,0.6,
2020-03-26,16.8,59.4,80.0,32.0,88.0,918.7,20.3,0.6,
2020-03-27,18.6,65.3,92.0,42.0,103.0,920.1,20.8,0.6,
2020-03-28,15.3,51.7,63.0,23.0,67.0,920.4,20.1,0.6,
2020-03-29,15.2,51.2,75.0,32.0,84.0,917.6,26.5,2.5,
2020-03-30,13.7,49.2,92.0,44.0,102.0,917.9,26.3,,2.0
2020-03-31,15.2,51.0,102.0,46.0,112.0,918.8,26.4,,1.5
2020-04-01,15.5,84.2,98.0,44.0,106.0,918.8,18.0,,1.0
2020-04-02,14.1,57.1,57.0,24.0,65.0,917.9,23.6,,1.5
2020-04-03,11.6,41.4,64.0,33.0,72.0,918.6,20.0,,1.0
2020-04-04,11.7,61.2,75.0,37.0,82.0,920.1,20.2,,1.5
2020-04-05,11.6,40.3,73.0,34.0,82.0,919.8,18.8,,1.0
2020-04-06,13.4,44.2,93.0,47.0,101.0,918.8,25.8,,1.5
2020-04-07,13.4,47.9,124.0,55.0,134.0,917.4,26.0,,1.5
2020-04-08,14.2,51.1,149.0,63.0,153.0,918.7,24.8,,2.5
2020-04-09,13.1,53.3,152.0,65.0,155.0,919.9,23.1,,2.0
2020-04-10,11.8,45.4,122.0,59.0,141.0,920.8,26.8,,2.0
2020-04-11,13.0,54.4,161.0,69.0,163.0,923.1,24.4,,2.0
2020-04-12,13.1,49.6,155.0,65.0,157.0,921.4,19.8,,1.0
2020-04-13,18.0,58.9,153.0,70.0,157.0,919.3,26.8,,1.5
2020-04-14,18.7,79.4,84.0,36.0,89.0,921.8,24.8,,1.5
2020-04-15,15.7,60.1,36.0,14.0,46.0,921.4,25.5,,1.5
2020-04-16,16.5,56.2,51.0,20.0,57.0,919.3,21.0,,2.0
2020-04-17,17.6,79.9,75.0,35.0,82.0,917.0,21.0,,1.0
2020-04-18,17.8,85.0,64.0,29.0,72.0,918.5,20.4,,1.5
