Date,dew,humidity,pm1,pm10,pm25,precipitation,pressure,temperature,wind-speed
2020-12-28,9.4,74.0,,,,,921.2,14.8,2.0
2020-12-29,8.1,78.5,,,,,922.1,14.4,1.5
2020-12-30,8.1,92.8,128.0,52.0,148.0,,923.7,9.2,1.5
2020-12-31,8.9,59.7,,,,,922.8,15.2,1.0
2021-01-01,7.9,69.1,129.0,53.0,141.0,,924.0,14.7,1.5
2021-01-02,8.7,77.1,129.0,46.0,134.0,,923.8,15.6,1.0
2021-01-03,9.3,57.9,,,,,921.2,17.4,1.0
2021-01-04,10.8,85.6,,,,,923.3,13.1,1.5
2021-01-05,11.6,86.8,,,,,924.7,12.8,1.0
2021-01-06,9.9,67.0,71.0,39.0,77.0,,922.7,13.5,0.5
2021-01-07,11.9,65.7,,,,,920.0,19.8,2.0
2021-01-08,11.3,55.9,,,,,919.8,18.8,1.0
2021-01-09,11.3,63.2,,,,,921.0,12.0,1.5
2021-01-10,,,,,,,,,
2021-01-11,,,,,,,,,
2021-01-12,,,,,,,,,
2021-01-13,,,,,,,,,
2021-01-14,,,,,,,,,
2021-01-15,,,,,,,,,
2021-01-16,,,,,,,,,
2021-01-17,9.5,55.3,,,,,922.8,17.4,1.5
2021-01-18,9.5,66.4,,,,,924.1,19.0,1.0
2021-01-19,10.6,70.2,,,,,919.2,17.6,1.5
2021-01-20,10.8,69.6,155.0,56.0,155.0,,918.3,16.8,2.0
2021-01-21,10.4,78.9,,,,,918.4,10.8,1.5
2021-01-22,,,,,,,,,
2021-01-23,,,,,,,,,
2021-01-24,,,,,,,,,
2021-01-25,,,,,,,,,
2021-01-26,,,,,,,,,
2021-01-27,,,,,,,,,
2021-01-28,,,,,,,,,
2021-01-29,,,,,,,,,
2021-01-30,,,,,,,,,
2021-01-31,,,,,,,,,
2021-02-01,,,,,,,,,
2021-02-02,,,,,,,,,
2021-02-03,,,,,,,,,
2021-02-04,,,,,,,,,
2021-02-05,,,,,,,,,
2021-02-06,,,,,,,,,
2021-02-07,,,,,,,,,
2021-02-08,,,,,,,,,
2021-02-09,,,,,,,,,
2021-02-10,,,,,,,,,
2021-02-11,,,,,,,,,
2021-02-12,,,,,,,,,
2021-02-13,,,,,,,,,
2021-02-14,,,,,,,,,
2021-02-15,,,,,,,,,
2021-02-16,,,,,,,,,
2021-02-17,,,,,,,,,
2021-02-18,,,,,,,,,
2021-02-19,,,,,,,,,
2021-02-20,,,,,,,,,
2021-02-21,,,,,,,,,
2021-02-22,,,,,,,,,
2021-02-23,,,,,,,,,
2021-02-24,,,,,,,,,
2021-02-25,,,,,,,,,
2021-02-26,,,,,,,,,
2021-02-27,17.5,84.5,,,,,914.8,20.2,1.0
2021-02-28,16.6,60.7,,,,,915.1,24.7,1.5
2021-03-01,14.7,55.8,,,,,918.3,17.4,2.0
2021-03-02,13.2,52.0,,,,,918.6,22.4,2.0
2021-03-03,8.9,40.8,,,,,919.6,22.8,2.0
2021-03-04,11.8,54.4,156.0,68.0,158.0,,920.2,22.0,1.5
2021-03-05,12.8,52.7,104.0,48.0,117.0,,918.0,20.8,2.0
2021-03-06,12.0,51.8,,,,,918.3,22.4,1.5
2021-03-07,13.1,79.8,,,,,920.9,18.0,2.0
2021-03-08,15.4,63.0,,,,,921.8,21.6,1.5
2021-03-09,13.4,60.5,119.0,45.0,127.0,,921.3,24.0,2.0
2021-03-10,14.6,92.1,98.0,42.0,101.0,,921.1,16.0,0.7
2021-03-11,13.7,79.3,61.0,20.0,64.0,,922.8,16.7,1.0
2021-03-12,12.0,67.4,67.0,25.0,75.0,,924.7,17.7,1.1
2021-03-13,13.1,65.9,65.0,26.0,71.0,,924.1,18.8,0.8
2021-03-14,11.9,64.8,74.0,32.0,82.0,,920.4,20.2,1.0
2021-03-15,14.6,77.6,109.0,46.0,117.0,,919.0,19.1,0.9
2021-03-16,15.3,83.9,138.0,55.0,147.0,,919.3,18.8,0.9
2021-03-17,13.9,67.8,96.0,50.0,122.0,,919.1,18.6,0.7
2021-03-18,12.9,76.7,109.0,56.0,137.0,,920.3,17.7,0.9
2021-03-19,13.4,53.8,,,,,920.4,24.0,2.0
2021-03-20,14.5,73.2,73.0,28.0,79.0,,918.0,18.8,0.5
2021-03-21,12.3,52.6,71.0,32.0,78.0,,918.2,20.7,0.6
2021-03-22,12.6,58.2,108.0,54.0,121.0,,920.3,21.5,0.6
2021-03-23,12.2,54.3,128.0,60.0,142.0,,920.1,22.7,0.8
2021-03-24,12.5,41.6,87.0,43.0,97.0,,921.4,22.0,1.0
2021-03-25,10.7,40.0,97.0,45.0,109.0,,919.0,22.8,1.0
2021-03-26,11.3,45.7,161.0,76.0,165.0,,918.4,21.1,1.5
2021-03-27,11.8,56.6,188.0,116.0,197.0,,919.4,20.3,1.0
2021-03-28,13.3,62.3,194.0,112.0,203.0,,918.9,21.2,0.7
2021-03-29,16.1,78.8,194.0,98.0,197.0,,918.3,17.4,1.0
2021-03-30,13.8,52.3,,,,,912.2,18.2,1.5
2021-03-31,14.5,83.8,167.0,80.0,169.0,,908.6,18.5,0.6
2021-04-01,17.1,85.4,143.0,55.0,151.0,,910.9,18.3,0.6
2021-04-02,11.2,54.2,88.0,30.0,90.0,,914.5,21.2,0.8
2021-04-03,11.2,44.3,86.0,27.0,86.0,,917.2,20.1,1.5
2021-04-04,8.6,32.0,117.0,41.0,124.0,,920.4,24.8,0.8
2021-04-05,10.1,47.5,164.0,91.0,172.0,,921.2,22.0,0.8
2021-04-06,11.9,58.9,192.0,103.0,199.0,,920.0,18.4,0.5
2021-04-07,12.6,58.2,164.0,86.0,169.0,,920.7,20.6,0.6
2021-04-08,13.6,48.4,153.0,68.0,156.0,,915.9,24.8,1.1
2021-04-09,13.2,51.6,102.0,52.0,120.0,,919.7,20.0,0.9
2021-04-10,11.7,47.5,93.0,52.0,99.0,,921.5,22.4,1.2
2021-04-11,10.2,40.8,126.0,60.0,145.0,,919.1,22.1,0.7
2021-04-12,10.8,47.0,162.0,81.0,168.0,,921.7,20.9,0.6
2021-04-13,10.3,47.2,160.0,75.0,166.0,,918.7,21.0,0.8
2021-04-14,12.8,51.3,161.0,71.0,165.0,,917.8,22.2,0.8
2021-04-15,14.0,65.5,166.0,79.0,167.0,,916.3,20.7,0.7
2021-04-16,14.8,79.0,90.0,35.0,92.0,,920.2,19.7,0.6
2021-04-17,16.4,80.6,83.0,33.0,89.0,,920.9,18.7,0.8
2021-04-18,14.2,91.2,60.0,24.0,68.0,,920.6,15.1,1.0
2021-04-19,13.0,68.2,66.0,30.0,68.0,,914.8,18.6,0.5
2021-04-20,13.8,44.7,74.0,40.0,83.0,,914.6,25.6,0.7
2021-04-21,15.7,73.5,97.0,35.0,102.0,,921.4,20.1,0.7
2021-04-22,14.5,66.7,36.0,15.0,43.0,,922.5,17.2,0.8
