Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed
2022-03-28,16.0,,,,,881.2,,
2022-03-29,20.1,,,,,997.3,,
2022-03-30,18.5,,,,,880.4,,
2022-03-31,18.3,87.9,154.0,59.0,153.0,880.7,22.8,1.5
2022-04-01,19.5,92.6,152.0,54.0,146.0,880.0,22.9,1.4
2022-04-02,19.6,90.0,127.0,19.0,65.0,882.7,23.9,1.5
2022-04-03,20.7,99.8,136.0,49.0,137.0,882.4,22.1,1.5
2022-04-04,20.6,91.6,139.0,60.0,149.0,879.2,24.1,1.3
2022-04-05,20.3,81.9,133.0,60.0,146.0,883.5,25.0,1.7
2022-04-06,19.4,84.2,137.0,56.0,150.0,883.5,24.8,1.6
2022-04-07,19.6,89.6,118.0,54.0,126.0,884.0,24.5,2.0
2022-04-08,20.9,83.9,137.0,55.0,146.0,997.9,23.6,2.2
2022-04-09,19.2,82.6,130.0,51.0,135.0,881.3,22.8,1.8
2022-04-10,17.6,89.6,96.0,35.0,99.0,879.7,21.4,1.2
2022-04-11,20.1,87.4,79.0,37.0,83.0,878.9,23.0,1.8
2022-04-12,19.9,82.6,102.0,45.0,110.0,879.9,24.0,1.4
2022-04-13,19.9,92.8,119.0,53.0,128.0,878.4,24.4,1.3
2022-04-14,20.8,75.6,91.0,57.0,116.0,988.6,25.4,1.2
2022-04-15,15.9,48.6,92.0,76.0,120.0,875.5,25.8,1.4
2022-04-16,18.4,56.3,120.0,82.0,152.0,876.4,25.6,0.9
2022-04-17,17.5,63.2,101.0,72.0,127.0,877.0,25.5,1.3
2022-04-18,21.0,74.8,122.0,57.0,137.0,996.3,25.1,1.6
2022-04-19,19.4,77.8,131.0,58.0,143.0,881.4,24.9,1.7
2022-04-20,19.5,91.2,80.0,44.0,92.0,880.5,21.5,1.6
2022-04-21,19.5,82.4,,26.0,80.0,880.9,22.9,1.5
2022-04-22,19.4,85.1,,26.0,80.0,880.5,24.0,1.1
2022-04-23,18.6,73.5,,26.0,80.0,878.6,24.0,1.0
2022-04-24,18.6,67.0,,26.0,80.0,877.5,23.2,1.1
2022-04-25,17.7,62.0,,26.0,80.0,877.1,22.2,1.3
2022-04-26,20.0,73.0,76.0,26.0,80.0,879.0,22.3,1.0
2022-04-27,19.6,75.0,76.0,26.0,93.0,878.4,22.2,1.4
2022-04-28,19.5,79.4,,35.0,79.0,880.4,25.8,1.9
2022-04-29,19.7,74.1,,38.0,86.0,880.4,25.0,1.1
2022-04-30,19.8,94.7,,17.0,58.0,879.0,20.7,1.3
2022-05-01,19.8,80.2,,19.0,59.0,879.3,23.3,1.0
2022-05-02,17.4,89.2,,19.0,61.0,879.5,21.3,1.1
2022-05-03,18.7,87.7,,19.0,56.0,879.3,23.2,1.4
2022-05-04,19.7,86.7,,20.0,65.0,881.0,23.1,2.1
2022-05-05,18.9,83.6,,20.0,53.0,880.5,23.5,1.0
2022-05-06,19.0,85.7,,30.0,80.0,880.7,23.7,0.7
2022-05-07,19.9,81.0,,22.0,69.0,880.4,24.1,1.0
2022-05-08,18.7,79.2,,24.0,73.0,876.6,25.2,0.9
2022-05-09,19.6,74.4,,26.0,66.0,880.3,25.0,1.1
2022-05-10,20.9,85.7,,15.0,52.0,879.7,24.2,1.4
2022-05-11,21.2,85.4,,11.0,40.0,878.0,25.6,1.2
2022-05-12,21.3,87.5,,13.0,52.0,877.5,26.4,1.9
2022-05-13,22.0,90.8,,7.0,31.0,873.7,24.3,2.1
2022-05-14,22.1,96.8,,9.0,36.0,873.9,24.1,1.2
2022-05-15,21.8,91.6,,10.0,41.0,875.5,26.2,1.5
2022-05-16,23.6,96.3,,8.0,32.0,876.8,25.7,1.6
2022-05-17,22.6,91.3,,9.0,38.0,875.2,23.9,1.3
2022-05-18,20.8,85.3,,8.0,33.0,877.2,25.9,1.3
2022-05-19,21.7,88.7,,7.0,28.0,877.4,24.4,1.4
2022-05-20,20.6,90.2,,6.0,24.0,876.9,23.2,1.8
2022-05-21,19.8,89.4,,4.0,15.0,875.1,21.6,2.0
2022-05-22,20.2,90.1,,5.0,22.0,873.8,22.5,1.5
2022-05-23,19.3,80.5,,5.0,17.0,874.1,24.4,1.2
2022-05-24,21.2,81.7,,5.0,19.0,878.3,25.0,0.8
