Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed,aqi_value,aqi_category
2022-03-28,13.0,64.0,,,177.0,1015.0,21.0,2.3,177.0,Unhealthy
2022-03-29,15.0,73.0,,,172.0,1014.0,20.0,2.3,172.0,Unhealthy
2022-03-30,17.0,82.0,,,167.0,1015.0,20.5,2.0,167.0,Unhealthy
2022-03-31,17.0,74.5,,,160.0,1014.5,21.0,1.7,160.0,Unhealthy
2022-04-01,17.0,79.1,,,161.0,1014.5,21.0,1.2,161.0,Unhealthy
2022-04-02,18.0,78.0,,,161.0,1017.0,22.5,1.4,161.0,Unhealthy
2022-04-03,16.0,68.5,,,149.0,1015.5,22.0,1.5,149.0,Unhealthy for Sensitive Groups
2022-04-04,15.0,68.0,,,155.0,1015.0,22.0,1.5,155.0,Unhealthy
2022-04-05,14.5,61.1,,,153.0,1018.0,22.7,1.1,153.0,Unhealthy
2022-04-06,13.5,53.0,,,153.0,1018.0,22.3,1.2,153.0,Unhealthy
2022-04-07,15.0,64.0,,,155.0,1018.0,22.0,1.5,155.0,Unhealthy
2022-04-08,13.0,62.0,,,156.0,1016.0,22.0,1.5,156.0,Unhealthy
2022-04-09,16.0,74.3,,,159.0,1015.0,20.0,1.2,159.0,Unhealthy
2022-04-10,16.5,78.0,,,154.0,1014.0,20.0,1.2,154.0,Unhealthy
2022-04-11,16.0,77.0,,,147.0,1013.0,22.0,1.5,147.0,Unhealthy for Sensitive Groups
2022-04-12,18.0,78.1,,,139.0,1014.0,22.0,1.5,139.0,Unhealthy for Sensitive Groups
2022-04-13,17.5,78.9,,,152.0,1012.0,22.0,1.3,152.0,Unhealthy
2022-04-14,7.0,40.3,,,117.0,1011.0,23.0,1.5,117.0,Unhealthy for Sensitive Groups
2022-04-15,7.0,37.5,,,107.0,1011.0,22.5,1.2,107.0,Unhealthy for Sensitive Groups
2022-04-16,5.5,34.5,,,137.0,1011.0,22.2,1.5,137.0,Unhealthy for Sensitive Groups
2022-04-17,5.5,33.0,,,152.0,1012.0,21.0,1.5,152.0,Unhealthy
2022-04-18,7.0,51.0,,,171.0,1014.5,22.0,1.5,171.0,Unhealthy
2022-04-19,15.0,66.5,,,180.0,1016.0,21.0,1.8,180.0,Unhealthy
