Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-gust,wind-speed,o3
2024-01-01,7.5,87.0,113.0,61.0,138.0,1020.0,9.5,,1.2,-0.9990
2024-01-02,6.5,81.5,95.0,63.0,116.0,1020.0,10.0,,1.2,-0.9990
2024-01-03,6.0,81.5,109.0,59.0,131.0,1020.0,9.5,,1.0,-0.9990
2024-01-04,5.0,78.0,103.0,66.0,140.0,1020.0,8.8,,1.0,-0.9990
2024-01-05,4.0,76.0,131.0,62.0,140.0,1020.0,9.5,,1.2,-0.9990
2024-01-06,5.5,78.5,114.0,62.0,145.0,1022.0,9.0,,1.0,-0.9990
2024-01-07,5.0,83.7,144.0,62.0,154.0,1022.0,9.4,,1.2,-0.9990
2024-01-08,5.5,81.0,145.0,62.0,152.0,1021.0,9.2,,1.2,-0.9990
2024-01-09,5.0,78.5,149.0,64.0,155.0,1020.0,9.5,,1.0,-0.9990
2024-01-10,5.0,78.5,121.0,57.0,141.0,1019.0,9.9,,1.0,-0.9990
2024-01-11,6.0,81.0,103.0,53.0,127.0,1019.0,9.5,,1.0,-0.9990
2024-01-12,6.0,76.0,138.0,63.0,154.0,1019.0,10.0,,0.9,-0.9990
2024-01-13,5.5,76.0,135.0,64.0,153.0,1019.0,10.4,,1.2,-0.9990
2024-01-14,6.0,76.0,103.0,65.0,125.0,1020.0,10.5,,1.0,-0.9990
2024-01-15,5.0,75.8,91.0,61.0,114.0,1019.0,10.0,,1.0,-0.9990
2024-01-16,5.5,73.5,87.0,51.0,112.0,1018.0,10.3,,1.0,-0.9990
2024-01-17,6.0,78.0,91.0,51.0,111.0,1017.0,9.7,,1.2,-0.9990
2024-01-18,5.5,78.5,110.0,57.0,121.0,1018.0,9.5,,1.2,-0.9990
2024-01-19,5.5,81.1,124.0,57.0,151.0,1019.5,9.0,,1.2,-0.9990
2024-01-20,5.0,78.5,136.0,62.0,155.0,1019.0,9.2,,0.9,-0.9990
2024-01-21,4.0,72.5,129.0,59.0,152.0,1017.5,9.0,,1.0,-0.9990
2024-01-22,3.0,76.0,118.0,62.0,139.0,1020.5,8.0,,1.0,-0.9990
2024-01-23,4.0,78.5,132.0,64.0,151.0,1019.0,8.7,,1.0,-0.9990
2024-01-24,4.0,73.5,124.0,61.0,147.0,1019.0,9.0,,1.0,-0.9990
2024-01-25,3.5,69.4,130.0,68.0,146.0,1021.5,8.5,,1.2,-0.9990
2024-01-26,3.0,75.5,145.0,72.0,153.0,1022.0,8.1,,1.2,-0.9990
2024-01-27,2.0,70.0,113.0,72.0,142.0,1021.0,8.0,,1.0,-0.9990
2024-01-28,1.5,68.0,149.0,79.0,155.0,1021.5,8.5,,1.1,-0.9990
2024-01-29,3.0,76.0,141.0,78.0,157.0,1021.0,8.8,,1.0,-0.9990
2024-01-30,5.0,79.0,156.0,81.0,164.0,1020.0,9.5,,1.2,-0.9990
2024-01-31,5.5,78.5,157.0,85.0,167.0,1019.5,10.5,,1.2,-0.9990
2024-02-01,6.0,83.4,157.0,83.0,168.0,1020.5,9.2,,1.2,-0.9990
2024-02-02,4.0,72.5,96.0,61.0,132.0,1017.5,9.5,,1.0,-0.9990
2024-02-03,3.5,81.0,101.0,67.0,151.0,1016.0,9.7,,1.2,-0.9990
2024-02-04,6.5,87.0,152.0,79.0,163.0,1020.0,9.2,,1.1,-0.9990
2024-02-05,5.5,76.0,155.0,84.0,169.0,1020.0,9.5,,1.2,0.0100
2024-02-06,4.0,77.4,108.0,69.0,150.0,1019.0,9.5,,1.2,0.0035
2024-02-07,3.0,73.5,120.0,71.0,150.0,1018.0,9.5,,1.2,0.0040
2024-02-08,3.0,72.5,141.0,69.0,152.0,1017.0,8.5,,1.2,0.0085
2024-02-09,4.0,78.3,152.0,77.0,161.0,1022.0,9.5,,1.0,0.0020
2024-02-10,5.0,71.0,157.0,84.0,168.0,1024.0,11.0,,1.2,0.0060
2024-02-11,4.5,68.5,133.0,73.0,158.0,1024.0,11.5,,1.2,0.0050
2024-02-12,5.5,71.0,134.0,77.0,156.0,1024.0,11.8,,1.5,0.0040
2024-02-13,4.5,63.4,151.0,74.0,156.0,1023.0,12.0,,1.2,0.0030
2024-02-14,5.0,66.5,155.0,78.0,163.0,1022.0,11.5,,1.2,0.0185
2024-02-15,4.5,68.5,151.0,75.0,160.0,1023.0,11.5,,1.2,0.0125
2024-02-16,5.5,74.2,144.0,78.0,158.0,1022.5,12.5,,1.5,0.0115
2024-02-17,7.5,71.0,151.0,80.0,163.0,1018.0,12.0,,1.5,0.0100
2024-02-18,6.0,66.0,144.0,82.0,162.0,1017.5,12.4,,1.1,0.0105
2024-02-19,7.5,73.5,156.0,92.0,168.0,1019.0,12.5,,1.2,0.0145
2024-02-20,7.0,64.5,158.0,87.0,166.0,1017.0,14.1,,1.0,0.0055
2024-02-21,7.0,68.5,108.0,76.0,152.0,1014.0,14.0,,1.5,0.0035
2024-02-22,6.0,76.0,90.0,61.0,131.0,1016.0,10.5,,1.3,0.0040
2024-02-23,4.5,70.3,88.0,55.0,109.0,1018.0,10.6,,1.2,0.0105
