Date,dew,humidity,pm1,pm10,pm25,pressure,temperature,wind-speed
2024-01-01,,94.3,72.0,21.0,73.0,,12.5,0.4
2024-01-02,,85.3,64.0,17.0,63.0,,13.6,0.6
2024-01-03,,87.7,56.0,14.0,56.0,,12.3,0.6
2024-01-04,,87.4,59.0,15.0,59.0,,12.7,0.5
2024-01-05,,76.3,60.0,16.0,61.0,,14.2,0.4
2024-01-06,,86.8,65.0,18.0,65.0,,13.4,0.5
2024-01-07,,86.3,63.0,17.0,63.0,,13.3,0.5
2024-01-08,,85.7,65.0,18.0,66.0,,13.7,0.4
2024-01-09,,91.6,72.0,21.0,72.0,,12.5,0.4
2024-01-10,,85.2,67.0,19.0,68.0,,12.9,0.5
2024-01-11,,88.3,65.0,18.0,66.0,,11.7,0.5
2024-01-12,,88.5,74.0,23.0,77.0,,11.8,0.6
2024-01-13,,86.1,72.0,21.0,73.0,,13.5,0.5
2024-01-14,,84.2,75.0,22.0,75.0,,13.7,0.5
2024-01-15,,80.1,68.0,19.0,68.0,,13.9,0.4
2024-01-16,,76.0,57.0,14.0,57.0,,14.1,0.5
2024-01-17,,71.5,50.0,12.0,51.0,,12.9,0.6
2024-01-18,,75.7,56.0,14.0,56.0,,12.6,0.6
2024-01-19,,83.7,68.0,19.0,68.0,,11.5,0.5
2024-01-20,,70.4,66.0,18.0,66.0,,11.2,0.5
2024-01-21,,78.5,65.0,18.0,66.0,,11.7,0.5
2024-01-22,,77.5,69.0,20.0,70.0,,11.2,0.5
2024-01-23,,78.6,68.0,19.0,69.0,,11.6,0.5
2024-01-24,,74.6,64.0,18.0,64.0,,11.0,0.5
2024-01-25,,70.8,63.0,17.0,63.0,,12.2,0.5
2024-01-26,,70.6,65.0,18.0,66.0,,12.4,0.5
2024-01-27,,66.0,66.0,19.0,67.0,,11.8,0.5
2024-01-28,,67.0,71.0,21.0,72.0,,11.7,0.6
2024-01-29,,70.8,81.0,25.0,83.0,,13.2,0.5
2024-01-30,,73.0,80.0,25.0,80.0,,13.8,0.4
2024-01-31,,66.9,96.0,31.0,97.0,,14.3,0.6
2024-02-01,,73.6,87.0,27.0,88.0,,13.2,0.5
2024-02-02,,68.5,69.0,20.0,70.0,,13.3,0.5
2024-02-03,,70.3,69.0,20.0,69.0,,13.3,0.6
2024-02-04,,80.8,83.0,26.0,84.0,,13.4,0.5
2024-02-05,,73.1,83.0,26.0,83.0,,14.9,0.6
2024-02-06,,80.3,78.0,23.0,78.0,,13.8,0.5
2024-02-07,,78.0,76.0,23.0,77.0,,13.4,0.7
2024-02-08,,73.3,76.0,22.0,76.0,,13.5,0.6
2024-02-09,,74.1,94.0,31.0,95.0,,12.9,0.6
2024-02-10,,65.0,81.0,25.0,82.0,,13.0,0.5
2024-02-11,,57.8,65.0,18.0,66.0,,13.9,0.5
2024-02-12,,65.3,74.0,22.0,75.0,,15.0,0.5
2024-02-13,,66.6,71.0,21.0,72.0,,14.4,0.5
2024-02-14,,66.4,82.0,26.0,83.0,,13.9,0.5
2024-02-15,,69.5,82.0,26.0,83.0,,15.0,0.5
2024-02-16,,72.4,84.0,27.0,85.0,,15.9,0.5
2024-02-17,,64.1,96.0,31.0,97.0,,17.3,0.6
2024-02-18,,63.7,104.0,34.0,105.0,,17.1,0.6
2024-02-19,,74.0,112.0,38.0,114.0,,16.3,0.6
2024-02-20,,76.4,97.0,31.0,97.0,,16.4,0.6
2024-02-21,,68.2,85.0,27.0,86.0,,16.1,0.7
2024-02-22,,71.1,41.0,10.0,43.0,,12.9,0.7
2024-02-23,,56.9,39.0,10.0,42.0,,13.1,0.6
2024-02-24,,55.7,53.0,14.0,54.0,,13.5,0.7
